"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","40/4315","63/9418",0.634920634920635,1.38578969633431,2.82509400933077,0.00348100059462479,0.0129156195956406,0.0129156195956406,"XPA/PCNA/ERCC2/DDB2/POLD3/GTF2H5/POLD1/CUL4A/POLE/POLR2I/MNAT1/POLR2H/RFC5/POLD4/POLR2K/ERCC5/RPA2/RFC1/RAD23B/UVSSA/CCNH/POLR2D/RFC3/POLR2B/POLR2A/RAD23A/POLE2/GTF2H3/ERCC1/ERCC8/POLR2E/RFC2/CUL4B/RPA3/POLD2/DDB1/POLR2G/ERCC6/RFC4/RBX1",40
"Human Diseases","Cancer: specific types","hsa05214","Glioma","47/4315","76/9418",0.618421052631579,1.34977739830457,2.81522109969076,0.00348574960677799,0.0129156195956406,0.0129156195956406,"CAMK2B/PLCG2/PIK3CA/KRAS/SHC1/DDB2/CALM3/PIK3R1/GADD45B/SOS2/PIK3CB/SOS1/E2F1/E2F3/MAPK1/CDKN2A/RAF1/CAMK2G/CDK4/MTOR/PTEN/CCND1/CALM1/MAPK3/PIK3R2/EGFR/IGF1R/PDGFRA/CAMK1/CDKN1A/BRAF/CAMK2D/MAP2K1/NRAS/PDGFRB/MDM2/IGF1/CDK6/CALML4/PIK3CD/GADD45A/SHC2/AKT2/BAX/PRKCG/MAP2K2/BAK1",47
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","35/4315","54/9418",0.648148148148148,1.41466031500794,2.80991091777902,0.00373557311004089,0.0136971014034833,0.0136971014034833,"RMI1/BRCA1/TOP3B/FAAP100/EME1/PMS2/BLM/FANCA/POLN/TELO2/BRIP1/FANCG/RPA2/FANCC/ATR/UBE2T/USP1/POLH/FANCE/FANCI/PALB2/POLI/MUS81/FANCM/CENPX/ERCC1/REV1/FANCF/FANCL/REV3L/CENPS-CORT/HES1/RAD51C/RPA3/TOP3A",35
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","89/4315","157/9418",0.56687898089172,1.23728070499148,2.75687585114174,0.00377764715992087,0.0137085752607438,0.0137085752607438,"SMAD1/FZD4/SMAD2/AFP/PARD6A/PPP2R1B/TP73/YAP1/CCND3/AREG/YWHAZ/BBC3/AXIN1/BMP7/STK3/DLG1/TGFB2/CTNNA3/PPP1CC/PPP1CA/TGFB1/SMAD3/GDF5/LIMD1/PPP2R2A/CSNK1E/BTRC/DLG2/PRKCI/CCND1/AJUBA/TCF7L1/SMAD7/PARD6B/PPP2R1A/FZD1/BMPR1A/GDF7/WNT2B/RASSF6/SERPINE1/SMAD4/NF2/LATS2/FBXW11/WWC1/TP53BP2/YWHAQ/TGFB3/SAV1/YWHAB/DVL2/CTNNA1/YWHAH/BIRC5/PPP2R2D/BMPR2/DVL1/WNT10B/PALS1/LLGL2/TCF7L2/CRB1/TEAD1/PARD3/TEAD2/WNT11/LLGL1/BIRC2/ACTB/MOB1A/ID2/CDH1/CSNK1D/TGFBR1/DLG4/ACTG1/FZD7/APC/CTNNB1/TCF7/FZD5/CCN2/TGFBR2/MYC/PPP2CB/FZD3/YWHAG/BMPR1B",89
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","26/4315","38/9418",0.684210526315789,1.49337073854973,2.80219057764101,0.00406158936171151,0.0145885658706372,0.0145885658706372,"PNP/NT5C/NNMT/NMNAT1/ENPP3/NT5DC4/NT5M/SARM1/NADK2/SIRT2/NADK/SIRT5/SIRT3/NT5C2/NT5E/SIRT4/NADSYN1/NAMPT/BST1/NNT/CD38/SIRT1/AOX1/NUDT12/QPRT/ENPP1",26
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","82/4315","144/9418",0.569444444444444,1.24288013389983,2.70068290233233,0.00450289434300513,0.0160102909973516,0.0160102909973516,"LPIN2/ACADM/IL6/PRKAG2/TRADD/ACACB/PRKAG1/CPT1A/C5AR1/FADD/MAP2K6/ACADVL/MAPK14/NFKBIA/CXCL8/ADH6/MAP2K3/IKBKE/MAP2K4/TAB1/FOXO3/ALDH1B1/RIPK1/ALDH2/TBK1/CHUK/PRKAA1/MAP2K7/TNFRSF1A/TRAF3/ALDH9A1/LPIN3/SCD/ADIPOR1/ADH4/LPIN1/CCND1/FAS/TCF7L1/CYP2E1/ADIPOR2/FASLG/TAB3/IL17RC/FASN/NOX4/IKBKG/CXCL2/PRKAB2/FOXO1/PPARGC1A/C5/MAPK13/ALDH7A1/CXCL1/ACOX3/TICAM1/C3/CAMKK2/ACOX1/IRF3/FABP1/TCF7L2/CD14/CASP8/IL17RA/TIRAP/ADH5/TRA2B/PPARA/IRAK4/LBP/CTNNB1/AKT2/TCF7/TRA2A/MLYCD/SIRT1/SREBF1/NFKB1/TAB2/ALDH3A2",82
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","54/4315","90/9418",0.6,1.30957126303592,2.71344814308055,0.00460456585197161,0.0162080717989401,0.0162080717989401,"EIF4E/PRKAG2/CREB3L3/PIK3CA/PRKAG1/KRAS/ATG101/ADCY5/PIK3R1/SOD2/FOXO3/AKT1S1/PIK3CB/IRS2/PRKAA1/SESN1/ADIPOR1/MTOR/ADCY9/STK11/ADIPOR2/CREB3L4/PIK3R2/TSC1/PRKAB2/FOXO1/ULK1/PPARGC1A/IGF1R/CREB5/CAT/RHEB/CREB1/CAMKK2/RPS6KB1/NRAS/APPL1/IRS1/IGF1/SESN2/PPARG/RPS6KB2/PIK3CD/EIF4EBP1/ATF4/CREB3L2/AKT2/BAX/RPTOR/ATG5/SIRT1/PRKACB/INSR/NFKB1",54
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","23/4315","33/9418",0.696969696969697,1.52121914393062,2.75799891587498,0.00475896768546154,0.0165857091612125,0.0165857091612125,"DLST/AGXT2/OGDH/CS/BCAT2/PDHA1/DLD/AGXT/ACO2/IDH1/BCKDHB/DBT/GOT2/DLAT/GPT2/NAGS/IDH3G/ACO1/IDH3A/BCKDHA/GPT/BCAT1/ABHD14A-ACY1",23
"Genetic Information Processing","Replication and repair","hsa03450","Non-homologous end-joining","11/4315","13/9418",0.846153846153846,1.84683126838399,2.80946135620834,0.00489368742916177,0.0168880193633818,0.0168880193633818,"RAD50/POLM/DCLRE1C/MRE11/DNTT/FEN1/LIG4/XRCC5/PRKDC/XRCC6/NHEJ1",11
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","47/4315","77/9418",0.61038961038961,1.33224782170321,2.69181196924038,0.00501419515772656,0.0171358902477646,0.0171358902477646,"ACSL5/ACADM/FADS2/PLIN5/SLC27A5/EHHADH/CPT1A/SCP2/ACAA1/UBB/PLIN2/PDPK1/AQP7/ACSL6/GK/RXRA/ACADL/CPT2/ACSL3/APOC3/ACSL1/SCD/DBI/HMGCS2/APOA2/OLR1/ACOX3/ME1/SLC27A4/ACOX1/FABP1/SORBS1/PPARG/NR1H3/PPARA/APOA5/HMGCS1/FABP5/APOA1/ME3/PLIN1/PCK2/ACOX2/RXRG/CYP27A1/ANGPTL4/ILK",47
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","203/4315","388/9418",0.52319587628866,1.14193714087754,2.62543905557337,0.00510046871826048,0.0172631248925739,0.0172631248925739,"SLC39A6/NDUFS2/FZD4/PIK3R4/NDUFV2/SLC25A4/SLC39A14/ATP5PB/IL6/NDUFC1/EIF2AK2/CAPN2/TUBA4A/PIK3CA/ATP5F1A/PSMD7/ADRM1/TUBA8/FADD/KRAS/ATG101/TUBA1C/ATP5F1B/AXIN1/NDUFB1/CALM3/PIK3R1/CSF1/SDHC/NDUFB10/CDK5R1/PSMC6/COX7A2L/KLC1/PSMD9/TUBB6/COX5B/PSMD3/PSMA6/NDUFA5/COXFA4/TUBB4B/PIK3CB/CAPN1/CHUK/RTN4/PSMB4/COX5A/IRS2/ATP2A2/RTN3/LRP5/MAP2K7/TNFRSF1A/CSNK1A1/UQCR10/PSMB2/MAPK1/PSMD1/SLC11A2/ITPR1/SEM1/NDUFA11/NDUFAB1/GAPDH/NDUFS5/CYCS/RAF1/ATP5MC2/CSNK1E/LRP6/TUBB8/ERN1/MTOR/COX4I1/VDAC1/KIF5C/GNAQ/NRBF2/KIF5A/SLC39A1/ITPR2/FAS/PSMC2/NDUFV3/PSMD8/CSNK2A1/TRAF2/CALM1/PSMA4/ADAM10/PLCB1/MAPK3/NDUFS3/BACE1/CDK5/PPIF/FZD1/LRP1/WNT2B/PIK3R2/SLC39A8/NDUFB5/TUBB3/NDUFS7/NOX4/PSMA7/IKBKG/NAE1/IDE/ULK1/NDUFA7/NDUFA1/COX6A1/PPP3R1/PSMD12/CSNK2A2/FRAT1/DVL2/ATP5F1E/SLC39A9/SLC39A10/COX7C/COX8A/XBP1/ATP5PD/PIK3C3/UQCRC2/BRAF/APP/COXFA4L2/DVL1/SLC39A5/PSMA2/PSMB1/WNT10B/APOE/MAP2K1/NDUFB6/NDUFS4/NRAS/UQCR11/PSEN1/ATP5F1D/KLC4/ATG2B/IRS1/ATG2A/CASP8/COX6B2/COX6C/CACNA1S/PPID/TUBA1B/CALML4/ADAM17/WIPI2/WNT11/PSMB7/AMBRA1/PSMA1/COX7A2/ATP5MC3/KIF5B/PIK3CD/SLC39A11/PSMD2/NDUFA10/SDHB/ATF4/NDUFS8/UQCRC1/VDAC2/FZD7/CHRM3/WIPI1/PSMA3/APC/CTNNB1/AKT2/FZD5/COX7B/NDUFB7/SLC39A13/VDAC3/MAP2K2/APH1A/NDUFB11/APH1B/ATG14/INSR/PPP3CC/ITPR3/NFKB1/FZD3/NDUFB4/CYC1/NDUFC2-KCTD14/PSMC3/PSMB6/PSMD4/PSMA5/CASP7",203
