"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","54/5171","75/9418",0.72,1.31134403403597,2.98696703113171,0.00172725406378557,0.00639993084686864,0.00639993084686864,"ALDOA/MAT2A/PGK1/RPEL1/PFKM/ASS1/PRPS1/CS/SHMT2/GOT1/SHMT1/PFKL/ENO3/BCAT1/ACO1/GAPDH/ALDOB/PGAM1/ACO2/ASL/MAT1A/TPI1/OTC/ARG1/PYCR1/CTH/PHGDH/GLUL/IDH1/GOT2/ASNS/GPT2/MTR/NAGS/MAT2B/PAH/BCAT2/ALDH18A1/ALDOC/PKM/PSPH/SDSL/PC/PSAT1/CPS1/PYCR2/ABHD14A-ACY1/IDH3G/ARG2/ENO1/RPE/PGK2/GPT/IDH3A",54
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","82/5171","120/9418",0.683333333333333,1.24456262489525,2.97500954007128,0.00174805307916086,0.00640542383333712,0.00640542383333712,"RAPGEF1/CAMK2B/RAP1A/SH2B3/ZNF274/PLCG2/MAPKAPK2/PRDM4/NFKBIE/TP73/ARHGDIA/KRAS/CDC42/SHC1/NFKBIA/PIK3R1/RIPK2/NFKB1/MAPK8/PIK3CD/MAP2K2/BAX/AKT2/PIK3CB/FOXO3/SOS2/MAPK13/PTPN11/CAMK4/MAPK10/FASLG/RPS6KA1/IRAK3/SORT1/CAMK2G/IRS1/PDPK1/GRB2/MAP2K5/MAP3K3/JUN/SH2B2/PIK3R2/CALM1/MAPK3/KIDINS220/MAPK14/PIK3R3/RAF1/NRAS/RHOA/RAC1/AKT1/SH2B1/CALM3/RAP1B/RPS6KA2/MAP2K7/MAP2K1/BRAF/IRAK2/GAB1/CAMK2D/MAP3K1/MAPK1/FRS2/SOS1/NTF3/PIK3CA/ABL1/PSEN1/RPS6KA3/CALML5/CALML4/GSK3B/CRKL/NFKBIB/CRK/IRAK4/PRKCD/ATF4/SHC2",82
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","34/5171","44/9418",0.772727272727273,1.40737680420527,2.98856416155451,0.00176513099952756,0.00640542383333712,0.00640542383333712,"APEX1/PARP3/HMGB1/PARP2/PARP1/PCNA/ADPRS/POLB/XRCC1/RFC2/POLG2/SMUG1/POLE/RFC5/OGG1/POLD4/MPG/NTHL1/NEIL3/UNG/PARG/RFC4/MUTYH/FEN1/RFC3/TDG/POLD1/RFC1/POLE2/POLD2/POLD3/TDP1/NEIL2/PNKP",34
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","32/5171","41/9418",0.780487804878049,1.42151114800647,2.9844991474366,0.00179507566497804,0.00644761871502315,0.00644761871502315,"UPK3A/KRAS/CXCL8/ARAF/MAP2K2/HBEGF/MYC/THBS1/CDKN2A/E2F1/SRC/FGFR3/CDKN1A/CCND1/MAPK3/RAF1/NRAS/VEGFA/E2F3/EGFR/MAP2K1/RB1/BRAF/DAPK3/DAPK2/MAPK1/DAPK1/CDK4/MDM2/ERBB2/TYMP/CDH1",32
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","95/5171","142/9418",0.669014084507042,1.21848281722826,2.89456637641082,0.00225158281591334,0.00800562778991411,0.00800562778991411,"ASS1/PTK2/MAP2K6/SQSTM1/BMPR1B/SDC2/IL1A/PIK3R1/CAV3/SDC4/NFKB1/HMOX1/MAPK8/PIK3CD/ITGB3/IL1R1/SDC1/TXN/GSTM1/AKT2/PIK3CB/MAPK13/SUMO2/MAPK10/PRKAA1/CHUK/KEAP1/HSP90AB1/TNFRSF1A/SRC/RAC3/GSTM2/BMPR2/NOS3/GSTA2/MAP2K5/MGST3/JUN/TXN2/PIK3R2/NFE2L2/MAP2K4/BMP4/EDN1/CALM1/IKBKG/MAPK14/PIK3R3/ACVR2A/GSTP1/RHOA/MEF2A/PECAM1/RAC1/ARHGEF2/VCAM1/VEGFA/AKT1/GSTM4/SUMO1/CALM3/GSTA1/BMPR1A/IL1R2/SUMO3/MAP2K7/MAP3K7/GSTO1/CYBA/DUSP1/GSTA4/CTNNB1/CAV1/HSP90AA1/CAV2/GSTA5/CTSL/NCF2/ACVR2B/PIAS4/MGST1/PDGFA/ACVR1/ACTB/GSTO2/FOS/NQO1/PIK3CA/MEF2C/GSTA3/ICAM1/ACTG1/MGST2/CALML5/CALML4",95
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","150/5171","234/9418",0.641025641025641,1.1675071528098,2.86304234635361,0.0024176250407063,0.00851004014328618,0.00851004014328618,"ACSL5/NDUFS2/LIPE/NDUFV2/ATP5PB/KDM3B/NDUFC1/PRKAG2/CREB3L3/ATP5F1C/ATF2/PRKAG1/ATP5F1A/CPT1A/PRDM16/COX20/KRAS/ADCY5/CPT1B/ATP5F1B/ATP5MG/NDUFAF3/NDUFAF2/SLC25A20/MAP2K3/ATP5MC3/CYC1/NDUFB4/ADCY10/PRKACB/DPF3/NDUFAF4/NDUFB11/RPTOR/COX7B/COX4I1/CREB3L2/COX6A1/NDUFS8/MGLL/NDUFA5/COA4/SOS2/MAPK13/GNAS/CPT2/COX5A/ACTL6A/PRKAA1/NDUFAF6/ACSL3/AKT1S1/NDUFA11/NDUFAB1/ACSL1/UQCR11/CREB3L4/SMARCD3/RPS6KA1/NDUFB10/UQCR10/COX8A/NDUFA9/ATP5PD/KDM1A/ADCY9/PPARGC1A/NDUFB7/COX7C/PRKG1/LOC107984365/GRB2/ARID1A/CREB3L1/PNPLA2/NDUFB6/ADCY1/MTOR/NDUFS4/MAPK14/ATP5MC2/NDUFV3/NRAS/UQCRC2/NDUFS3/NDUFS7/UQCRHL/NDUFB5/COXFA4/CREB1/RPS6KA2/ATP5MGL/COX11/LOC124901481/ACSL6/COA1/TSC1/SMARCD1/NDUFA1/PRKAB2/NDUFS5/NDUFA7/ACTL6B/FGF21/ARID1B/NDUFA10/SMARCA4/COX14/RPS6KB1/ATP5F1E/SMARCC1/NDUFAF5/COX5B/SDHC/ADRB3/ACSL4/MLST8/COXFA4L2/KDM3A/CREB5/FRS2/ACTB/SOS1/SMARCD2/NDUFB1/RHEB/COX7A2L/PLIN1/NDUFC2-KCTD14/ATP5F1D/COX19/RPS6KA3/ACTG1/COX17/COX6B2/COX6C/COA6/PPARG/RPS6KB2/COX16/COX7B2/COA7/COX7A2/COX15/SMARCE1/SDHB/KLB/ZNF516/UQCRC1/RPS6",150
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","10/5171","10/9418",1,1.82131115838329,2.86722313651331,0.00248000524232478,0.00864318658711209,0.00864318658711209,"MPST/TST/SELENBP1/PAPSS2/PAPSS1/SQOR/BPNT1/BPNT2/ETHE1/SUOX",10
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","27/5171","34/9418",0.794117647058823,1.44633533165732,2.87679655035794,0.00262283940084366,0.00897847498083952,0.00897847498083952,"CLOCK/PRKAG2/RORA/NR1D2/PRKAG1/SKP1/PER3/CRY1/PRKAA1/CRY2/RBX1/BHLHE40/NR1D1/BMAL1/CSNK1E/FBXL3/DBP/CREB1/PRKAB2/FBXW11/PER1/NPAS2/BHLHE41/CUL1/BTRC/PER2/CSNK1D",27
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","29/5171","37/9418",0.783783783783784,1.42751415116528,2.87494282772667,0.00262722421314338,0.00897847498083952,0.00897847498083952,"AGXT2/ASS1/GAD1/ASPA/ALDH5A1/GOT1/FOLH1/GLS/GFPT1/AGXT/ASL/ABAT/GFPT2/RIMKLB/GLUL/DDO/GOT2/ADSS2/ASNS/GPT2/ALDH4A1/NAT8L/ADSL/CPS1/NIT2/CAD/ASRGL1/GPT/GLUD1",29
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","208/5171","333/9418",0.624624624624625,1.1376357986298,2.82158723390529,0.00270446754857815,0.00915358247211067,0.00915358247211067,"PPP2R5E/COL4A3/TNC/HDAC1/HES6/OASL/EIF2AK2/ATP6V1A/CREB3L3/PARD6A/PPP2R1B/TYK2/PTK2/CCND3/FADD/KRAS/CDC42/PPP2R5C/RBL1/FN1/COL4A6/ITGA9/BAK1/ITGB1/COL1A2/PPP2R1A/PIK3R1/CASP8/ITGA4/AXIN1/PDGFRB/UBR4/CRB3/NFKB1/ITGA5/PRKACB/WNT5B/CHD4/BCAP31/PIK3CD/LAMB4/ITGB3/ATP6V0D2/CDK2/THBS4/ITGA6/HES4/MAP2K2/ITGA2/ATP6V1B1/ITGB5/BAX/AKT2/APC/PIK3CB/CREB3L2/RBPJ/ATP6V1G1/IRF9/THBS2/SOS2/ATP6V1C2/AXIN2/MAML3/FZD9/COL9A1/GNAS/FZD4/LAMA4/NOTCH1/STAT1/LAMC2/CHUK/ITGA1/THBS1/TNFRSF1A/STAT2/JAK1/E2F1/TRADD/PARD6B/FASLG/CREB3L4/PPP2R5B/DLG1/WNT2B/CDKN1A/PPP2R2B/TUBG2/CCNA1/WNT5A/TCIRG1/GRB2/NFX1/CREB3L1/CCND1/PPP2CB/DLG2/PRKCI/FOXO1/PPP2R2A/CREBBP/PTGER4/PIK3R2/HEY2/MTOR/NHERF1/WNT10B/ATP6V0E1/MAPK3/IKBKG/IKBKE/MAML1/FZD5/PIK3R3/ATP6V1E2/RAF1/UBE3A/ITGB4/LAMA2/NRAS/RELN/PTEN/VEGFA/AKT1/DVL1/COL9A3/PPP2R5A/FZD3/HEYL/CREB1/TBK1/CCNE2/TBP/MX1/FZD7/IRF3/TSC1/IFNAR2/CCNA2/FAS/EGFR/CTNNB1/TLR3/MAP2K1/TICAM1/TRAF3/RB1/HES2/ATP6V1F/MX2/LAMA3/TBPL1/ISG15/DVL2/RPS6KB1/EP300/PXN/IRF1/PPP2R2D/ATM/CDKN1B/WNT8B/ATP6V1H/IFNAR1/TCF7L1/LAMB1/COL2A1/CREB5/LAMA5/HES7/FZD1/LFNG/MAGI1/ATP6V0A1/MAPK1/NOTCH2/SOS1/CSNK1A1/ITGB6/ATP6V1B2/TCF7/CDK4/RHEB/ATR/WNT11/PIK3CA/PKM/PALS1/MDM2/PSEN1/LLGL2/TCF7L2/COL4A5/ATP6V1C1/CDK6/PARD3/RBL2/LAMC1/LLGL1/RPS6KB2/GSK3B/PTGS2/COL4A4/ATP6V0D1/EIF4EBP1/ATP6V0A2/HES1",208
