"A","B","jaccard","n_intersecao","n_uniao"
"XPC","STAT1",0.0319526627218935,54,1690
"XPC","STAT2",0.0266114725014784,45,1691
"XPC","IRF9",0.0314540059347181,53,1685
"XPC","ELK1",0.00292397660818713,3,1026
"STAT1","STAT2",0.47444089456869,594,1252
"STAT1","IRF9",0.234468937875752,351,1497
"STAT1","ELK1",0.0106477373558119,12,1127
"STAT2","IRF9",0.343065693430657,470,1370
"STAT2","ELK1",0.00892060660124889,10,1121
"IRF9","ELK1",0.00800711743772242,9,1124
