"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","113/4003","224/9419",0.504464285714286,1.18699702901395,2.43509359978032,0.00924003276460806,0.0338801201368962,0.0338801201368962,"1017/1031/64764/5533/10393/567/1026/4055/25847/64784/5971/5291/7419/7042/1739/6513/5534/148327/7850/1869/3845/5901/4215/7040/6722/9586/3569/595/3601/5604/3932/9700/9184/1385/23373/6776/8850/55697/2874/581/6908/4773/7514/2224/811/5295/29882/5423/996/1871/2033/5728/115/5296/6416/111/4792/4087/5595/4089/6777/200186/5594/916/4775/472/5605/4790/3554/8295/6929/51433/1019/9133/5567/3683/1111/1030/890/598/9134/8517/4214/1147/5293/1029/896/10524/246184/64682/29945/119504/7046/2114/701/4609/8697/545/821/291/7094/8379/25906/7538/11200/7043/4801/468/5290/1387/4791/84699/331",113
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","36/4003","62/9419",0.580645161290323,1.36624950641857,2.48735279689566,0.00953694067044859,0.0346082795463701,0.0346082795463701,"2475/3065/5291/3845/847/57521/3170/1979/5571/5295/51422/115/5296/1410/111/3479/3312/5567/84335/9474/6199/5565/5293/8660/2309/5562/81570/2308/3310/6648/3667/23411/6198/5290/3643/3480",36
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","64/4003","120/9419",0.533333333333333,1.25492547256225,2.41612023445437,0.0104293365530725,0.0373486713663622,0.0373486713663622,"6655/5170/356/1432/5580/25/5291/5894/3845/4215/998/808/7161/396/5604/6654/1399/581/5908/6197/25970/91860/801/5295/3656/51135/5663/817/5296/10782/673/4792/5336/5595/2549/5879/10818/5594/5605/4790/4794/25759/57498/4214/5293/4793/11108/10019/2309/387/5609/5781/2889/816/6195/818/10603/3667/468/9261/5290/5906/1398/5603",64
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","102/4003","201/9419",0.507462686567164,1.19405222202751,2.39073316991991,0.0105043138217894,0.0373486713663622,0.0373486713663622,"6495/8091/8356/6935/5468/1031/25942/3021/8358/3728/1647/1026/4208/3065/4300/9611/1050/7850/7704/2130/7403/329/8842/3398/3569/100532731/8290/8350/581/7709/5218/3087/4233/7849/2118/51804/1643/6256/1027/648/4094/942/84444/8464/653604/4086/79058/4211/7102/8354/904/578/2138/929/8357/472/2115/4790/3020/3479/4149/4193/4297/2120/6929/26471/8013/604/1051/8352/905/890/598/2521/7030/5914/2119/6258/2892/5079/5090/8864/4066/6760/5747/6667/2308/4613/51274/8861/7185/4221/7468/4609/26039/8353/64332/861/4616/3206/8351/3480",102
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","21/4003","33/9419",0.636363636363636,1.4973542570345,2.460454537387,0.0115574332836775,0.0406821651585447,0.0406821651585447,"587/5160/50/84706/1737/1743/1738/48/64902/4967/2806/1431/189/3419/3417/586/3421/100526760/2875/162417/1629",21
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","84/4003","163/9419",0.515337423312883,1.21258136152487,2.35364047419752,0.011829647861924,0.0409442759355629,0.0409442759355629,"6655/1017/64764/356/1432/1026/10971/7297/5291/7419/7042/6554/841/3454/148327/5894/1869/3845/8772/7040/9586/3569/3717/5604/6654/1385/10454/6776/581/332/6774/4773/1643/5295/1871/54205/114609/51135/2033/5296/6416/673/4792/5595/4089/6777/9641/5608/5594/4775/5605/4790/6778/890/843/5582/9134/8517/4214/1147/5293/7187/5606/5609/29110/7046/57506/7534/4609/23118/6714/1642/7098/148022/5111/6775/7043/7529/468/355/5290/1387/84699/5603",84
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","14/4003","20/9419",0.7,1.64708968273795,2.49041348189812,0.0120251801643471,0.0409442759355629,0.0409442759355629,"10682/120227/6307/3930/1718/6309/1717/3988/8435/2222/51478/7108/6646/1595",14
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","75/4003","144/9419",0.520833333333333,1.22551315679907,2.34438525681238,0.0122863052809362,0.0409442759355629,0.0409442759355629,"8322/1432/7480/5291/5978/8312/1852/5894/3845/659/5013/2261/3175/3398/3717/5604/100532731/10336/4090/91/3720/6774/7482/7855/3572/648/84108/5295/6926/84759/4086/4211/2247/5296/3977/84333/6498/10637/4087/3400/6932/5595/4089/1499/1855/3624/5594/5605/93/2264/90/7481/3479/6929/5080/657/5293/463/7976/92/83729/4093/7044/4609/658/8324/55183/7994/9314/5290/5603/324/3399/3480/1856",75
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","75/4003","144/9419",0.520833333333333,1.22551315679907,2.34438525681238,0.0122863052809362,0.0409442759355629,0.0409442759355629,"217/10645/356/1432/9663/8717/1374/23765/841/127/8772/2194/501/3569/595/64900/23175/10454/6319/5465/5571/37/10891/114609/219/51135/29896/51422/718/6416/223/4792/257397/6932/23417/9641/1499/5608/929/2919/4790/1571/51/34/3929/5565/128/8517/1147/6720/2168/728/7187/2309/5606/5609/8310/5562/29110/2308/83439/130/51094/79602/23118/2920/148022/32/23411/355/6434/224/50507/84818/5603",75
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","75/4003","144/9419",0.520833333333333,1.22551315679907,2.34438525681238,0.0122863052809362,0.0409442759355629,0.0409442759355629,"5713/6712/7436/6095/55062/2475/5683/5291/7419/4800/342371/55102/2081/5708/6311/22863/5701/11047/10939/5687/6908/5715/5289/8408/30849/488/7186/10105/5295/54205/3709/5296/11273/60673/5689/23369/115209/5714/5690/1600/7494/5685/5688/2776/5682/7979/5702/5582/5293/5686/10524/2959/55626/5694/2892/5695/5706/6667/23236/5649/3710/29982/5692/4976/6310/23152/5710/3516/291/23130/9698/5709/5290/26100/4287",75
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","147/4003","300/9419",0.49,1.15296277791656,2.31475799015734,0.0123298103669593,0.0409442759355629,0.0409442759355629,"6655/3556/994/9693/9344/5533/125467750/356/2253/1432/1647/4208/1846/57551/5536/5971/7422/7042/1843/56034/8717/2064/5534/3925/4294/3315/8569/1942/1852/5894/3845/7786/80824/2122/4215/998/2261/7040/6722/11221/5604/6654/93589/785/4296/9965/1944/10454/1399/284/1845/409/5908/6197/4233/8986/51347/1946/7186/786/2872/5495/6788/5062/22808/51135/1326/9175/2247/51295/6416/673/408/1849/5595/11184/5608/929/5879/5594/4775/5605/4790/2264/1969/3554/3479/3312/4149/9064/9048/374/5567/51776/9448/5582/8517/5494/285/4214/1147/2323/784/4763/4902/2065/5881/5606/5609/6237/779/5871/5159/3310/5156/55970/7046/8605/5921/2768/4609/23118/1943/7867/1956/8649/5228/22800/6195/3727/2277/5922/7043/10235/468/355/9261/7423/5906/4791/3643/80310/1398/4616/5603/3480/4254",147
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","81/4003","157/9419",0.515923566878981,1.21396054869676,2.32414891490029,0.0128133116221373,0.0421522027195544,0.0421522027195544,"5499/655/50855/5518/8322/1742/84612/10971/7480/7042/1739/166824/3996/8312/659/3993/7040/7161/5516/329/3398/595/55233/5501/71/332/8994/7482/7855/6788/7533/4086/174/23286/1740/26524/4087/6932/27113/23291/4089/1499/1855/1490/7481/374/4092/999/657/64398/23418/56288/896/8463/55844/4771/1453/7976/5584/5054/7003/151449/7159/83439/7046/7534/5519/4609/8200/29119/658/8324/8945/7043/7529/60485/324/1454/1856/84962/7532",81
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","34/4003","59/9419",0.576271186440678,1.35595760806514,2.35786627928822,0.0134630305349464,0.0438795069287141,0.0438795069287141,"56953/955/1841/30833/51733/4907/4830/7371/6240/7378/5169/4831/978/6241/22978/51020/79077/221264/957/5167/7372/51727/318/83549/1635/1806/1890/1723/50484/1633/284958/790/377841/1503",34
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","102/4003","203/9419",0.502463054187192,1.18228816072675,2.25718969643407,0.0147791190878761,0.047727063476444,0.047727063476444,"858/5499/6655/5170/4638/10627/6093/4636/5063/3688/5291/7422/56034/1299/2064/5894/998/329/3672/595/5604/5501/6654/71/3673/1399/5908/4233/9564/7408/55742/87/5295/5829/5062/81/2909/3910/3909/340156/1285/5728/5296/3678/673/857/8394/5595/3911/1287/1499/5879/5594/29780/2335/394/3479/54776/3655/25759/22798/3912/5582/4659/103910/1280/5293/2317/896/1793/5881/387/7414/824/3691/5159/5747/7410/7057/10298/5156/5649/2889/6714/1956/5228/3611/7094/3915/2534/3690/7791/2277/5290/7423/8395/5906/4660/331/80310/1398/3480",102
