"A","B","jaccard","n_intersecao","n_uniao"
"XPC","STAT1",0.00969305331179321,6,619
"XPC","STAT2",0.0101351351351351,6,592
"XPC","IRF9",0.0065359477124183,4,612
"XPC","ELK1",0,0,341
"STAT1","STAT2",0.480707395498392,299,622
"STAT1","IRF9",0.240422721268164,182,757
"STAT1","ELK1",0.0121951219512195,8,656
"STAT2","IRF9",0.365269461077844,244,668
"STAT2","ELK1",0.00950871632329636,6,631
"IRF9","ELK1",0.0108024691358025,7,648
