"A","B","jaccard","n_intersecao","n_uniao"
"XPC","STAT1",0.0454387618433454,916,20159
"XPC","STAT2",0.045533965161222,860,18887
"XPC","IRF9",0.0407494145199063,87,2135
"XPC","ELK1",0.0049469964664311,7,1415
"STAT1","STAT2",0.854631507775524,17696,20706
"STAT1","IRF9",0.0502037325821218,998,19879
"STAT1","ELK1",0.00970629651981493,193,19884
"STAT2","IRF9",0.0538544474393531,999,18550
"STAT2","ELK1",0.0104009484802759,193,18556
"IRF9","ELK1",0.00740740740740741,9,1215
