"proteina","n_XPC","n_proteina","n_intersecao","genes"
"STAT1",53,19865,35,"CASC8;EFR3A;FAM135B;FER1L6-AS1;HHLA1;KCNK9;KHDRBS3;LINC00824;LINC00861;LINC00964;LINC01151;LINC02855;LINC02964;LOC101927845;LOC101927872;LOC102723635;LOC105375738;LOC105375771;LOC124902007;LOC124902020;LOC124902021;MAL2;MIR1208;OC90;PCAT1;PTK2;PVT1;SAMD12-AS1;SNTB1;ST3GAL1;TG;TNFRSF11B;TRAPPC9;ZFAT;ZHX2"
"STAT2",53,18537,34,"CASC8;EFR3A;FAM135B;FER1L6-AS1;HHLA1;KHDRBS3;LINC00824;LINC00861;LINC00964;LINC01151;LINC02855;LINC02964;LOC101927845;LOC102723635;LOC105375738;LOC105375747;LOC105375751;LOC105375769;LOC105375771;LOC124902007;LOC124902020;MAL2;MIR1208;PCAT1;PTK2;PVT1;SAMD12-AS1;SNTB1;ST3GAL1;TG;TNFRSF11B;TRAPPC9;ZFAT;ZHX2"
"IRF9",53,1012,1,"PTK2"
"ELK1",53,212,1,"LINC02855"
