"proteina","n_XPC","n_proteina","n_intersecao","genes"
"STAT1",12,14855,7,"KCNK9;LINC01151;LINC02964;PVT1;ST3GAL1;TG;ZFAT"
"STAT2",12,13908,6,"LINC01151;LINC02964;PVT1;ST3GAL1;TG;ZFAT"
"IRF9",12,496,0,""
"ELK1",12,190,0,""
